Predictions,Actual_Values
102074.45,101391.97888019666
102684.01,93828.31750001998
102503.266,100888.76682290668
101475.625,97595.06640624
104345.625,99317.17135412674
102142.13,98931.83755202006
102643.125,98335.15007812002
103746.016,94741.42591145002
104896.54,101904.28505209667
102582.664,97100.72080729665
105004.195,99081.87606770666
104450.375,94336.6532551792
104197.03,93961.78671875
104894.336,102293.9313281433
104877.99,94191.66231767004
104170.01,96488.30559898994
102379.19,86645.60161458999
103705.02,100172.28929688
103086.53,92342.38656250003
107010.87,95356.44609374668
105550.766,90695.66960936
105165.16,95749.10736980665
106971.33,93534.72632813
105602.39,94299.63968100832
105973.49,90871.05934898333
106909.51,97474.99450516672
107690.36,94272.64020834336
107868.305,88769.57703124668
107670.375,95469.32075522328
107971.5,91378.54096353668
108143.29,98793.49455727336
108184.54,92438.76778645666
109157.66,97916.61388019002
109437.69,88154.27260417002
109072.5,93977.77130208
110136.695,91578.27688800413
112315.05,94121.18656246338
110756.516,101727.3799218767
108614.414,92899.17140625668
111154.83,98149.89359375664
110071.45,96437.20666664669
113605.03,99797.73859378329
111236.336,97798.66013019667
112855.83,101504.84992185002
112964.234,103408.73247395337
114139.38,100698.80518228668
114537.51,106573.29174478668
115034.27,98096.9739257958
114142.875,101212.40132814662
116755.02,107865.24713542665
116009.04,102830.13101561
116783.61,109217.1973698
116818.17,114153.13190103
116815.75,106058.00994791668
117484.875,110477.97151044998
117888.79,109397.8182291467
118502.23,106055.37914064329
118105.14,104855.77953123336
120409.9,107738.64218753327
119856.26,104771.71490888332
121208.44,120093.74239580338
122262.484,128425.9522655967
120630.234,131550.56218750332
121260.984,132028.77291665337
123957.516,127448.9766927233
121381.44,125255.00315100007
122214.94,128583.84838544992
123694.97,126786.60768229664
123736.6,134447.20880209337
123871.76,134364.11994792
125105.45,135664.33015625
124642.25,139292.81194661665
124582.45,133659.35966145335
125630.38,132051.19796876993
127280.25,131779.07757813
127481.4,133636.47471354337
128154.39,130656.17109376
126244.125,128252.65729168334
128182.53,134481.83286459
128199.34,127022.65880207997
127138.836,125505.96033855664
128198.055,128414.94502606663
127772.26,128605.11177082337
129533.34,133414.18219400835
128492.42,131436.98635417994
128398.195,133861.47796875332
129250.76,131594.58830729336
129540.85,132917.97578125336
130836.23,128646.47382810668
128308.11,133526.13781248336
131481.11,137517.56984375
130830.27,132779.5964323033
131072.06,130596.72257812
130757.97,133410.97210937002
130824.92,123618.02223961994
130138.6,117705.17057293752
131075.0,113483.34346353998
132230.86,120860.75463544994
130432.64,128685.94348957007
130346.82,115175.78447916335
132631.34,113788.94168061206
132484.69,117770.01757813332
130512.125,121600.72817709336
132666.7,117556.8548958433
131943.81,130428.1868228867
131733.12,134017.41564078454
131490.86,129191.11226560002
131819.7,133676.89817709164
131973.44,132595.58841146
131908.27,125721.05046872007
131209.03,137684.52283854337
131169.11,138718.66234375
131515.75,130138.02335941662
131360.02,131634.85330729006
131211.7,129639.81132812335
130824.74,126347.08708334
132515.52,129436.59617188999
132879.3,129006.20494790666
133148.38,130832.09419272
132215.58,131711.78216144585
132197.19,127600.1170312666
