Predictions,Actual_Values
94290.08,76953.04820315664
89335.42,74753.38997393336
90939.875,77515.50093752997
92860.07,80221.80640624995
91862.39,75625.36338538336
91644.04,76644.25729165999
94200.61,74230.64455730664
91539.68,76897.91252605332
92419.05,78447.57380207666
96630.2,73073.82609374664
89696.766,73644.3449739467
96205.75,77717.4300781292
93126.81,78776.43700521003
93081.44,74410.04148438
93647.59,75111.04908857
94598.266,72666.55140623669
94641.84,77858.91856768004
95600.07,72877.50880210334
94832.555,71077.03882814331
93244.62,72639.07835938665
95257.375,76548.00575519666
94957.625,69759.71981769669
90823.4,73473.27513025665
94926.305,70890.09270832497
95379.484,72824.00533855327
92333.086,75944.96604165668
93091.086,71103.13937500995
96122.91,72453.85289064664
96573.37,72653.72052082668
94685.39,74147.53041667667
95791.164,73922.68932290001
96824.33,74063.06119789665
93975.766,71690.20955728997
96858.19,74521.4720312633
97420.25,74571.96317708334
95805.27,70992.88994141665
96949.12,74964.96494794666
94819.39,74332.60440103
97093.375,74984.74158854996
97867.516,74696.50257812666
96854.336,75151.91679688332
98182.09,75364.46484369003
96248.375,76972.31588538334
93675.32,73956.87528639338
96078.8,77417.88002603668
99064.42,75929.94812499668
95509.59,77288.81088542331
95803.13,78753.40511072915
98078.805,78617.31901043664
97295.13,75336.40846351335
95693.39,80952.97846353668
100680.734,77957.37528648
96420.89,79825.91848957338
96530.9,81524.97992185662
95325.06,79959.03739583334
97983.06,77459.65023437001
99582.16,79693.69981769338
98667.09,83174.46213541333
98313.81,85161.67359376
100653.48,83133.5001627417
98557.88,79184.67536460995
99769.04,87648.48697915669
103796.7,85876.32645832332
102357.266,82574.04968753994
100223.414,86468.32830727332
96655.8,85651.28161461
100985.516,84074.51901042668
100864.98,83617.79882814665
99802.82,90340.07187500666
103102.15,86166.39786462329
98393.74,103698.1078905834
103621.34,112538.67333987496
100213.11,109064.92265629664
103663.11,99923.94463544663
100866.125,103001.59067708
102282.66,100871.37750000664
103375.09,100203.77585940332
101644.4,102526.26955727002
103173.766,98784.17898434668
101900.68,92949.0842448233
100583.625,94440.95473961665
101503.984,91622.71078124666
101357.2,95086.78721352668
103490.95,96384.30302733331
104245.6,88336.94580727669
102927.31,93885.32963542
105325.46,92904.18460932672
103520.52,91456.42768230666
104827.24,93027.93260415332
106798.06,88394.23427082002
102706.48,91479.27677083
102516.63,90622.89158853004
102197.875,89006.51265623666
103628.5,95088.43132812998
103865.66,97364.42924479
104638.125,93619.94580080832
102817.336,93640.00713541
102310.67,96691.93445309668
103287.83,97256.75624996668
102422.06,94939.33317707668
103900.49,90123.8208594033
103940.35,94213.50710936004
102637.24,97752.09447917998
104487.45,93734.41544270334
103220.83,98536.89221355662
105198.33,93196.77333334662
103316.805,94820.02731772998
102396.72,102473.65315754164
102835.65,98429.21218748334
103544.2,96631.41726563332
101780.86,93192.51197915668
105095.16,88453.20356769004
105067.25,88028.78515628332
104653.51,97020.67927080672
104239.81,95352.13169268335
102202.08,96420.32143227667
101274.6,96373.59601563662
103736.72,93340.13166667664
108654.49,93385.43419271662
102009.78,97161.75152992916
104057.11,89758.13872398666
101994.984,94493.54580729333
104977.73,92007.92377603668
104744.83,92132.07893229333
104365.164,90476.78171877662
102290.34,91731.86536459668
102511.34,98772.02591145667
103101.555,92750.70872396667
102956.04,92169.83786458
103475.5,89588.53294270334
100889.1,90523.45218749002
102849.21,92191.78388671669
105501.8,91695.5702082967
104188.086,91967.8566406
103571.88,92277.76005203671
103741.125,90064.60880209669
101323.336,92239.21656248336
102923.766,90689.66559890672
102139.75,93271.32419272
100945.6,93005.28861979333
101594.65,91771.7046614367
98753.62,86422.54455728004
101738.33,88757.28653646
100570.48,86577.73248698747
102826.79,87706.75364583332
102729.375,93129.05588539338
101897.766,88910.25041668997
103509.7,87268.7191145434
101612.984,91829.7527603867
103334.18,87078.9941146133
102983.11,84908.89192711329
101480.41,87277.6699739434
102079.164,86783.69333332
101029.086,83878.19864581001
102270.67,87852.47854169
99933.31,86546.36471352504
99104.67,90712.15567708334
101886.19,85336.24333335999
98619.375,86273.69432292665
97052.445,91343.62335938668
100235.35,83471.77260418331
103753.266,88896.10966146336
99267.445,84601.09986976668
97813.6,85185.44437499004
98948.02,93288.84096355663
100403.03,82712.45973958005
99557.23,88772.4273958067
100770.62,87949.55156251666
99290.51,89872.9765885067
98444.055,86491.05468749997
100927.49,89671.79705729333
97013.42,86998.17434891003
96289.44,90044.42304686994
98917.67,88397.60424479666
96527.62,86948.43486981666
96992.8,88058.00562498003
97888.945,88741.47466144669
96922.375,87286.17171875
99345.88,87065.86843749665
100106.125,91660.56025385004
100531.42,87242.69791666335
95089.49,86257.57380207338
99080.17,85991.13971355664
97519.94,87791.49710936335
100590.09,85015.64903645335
97222.12,88256.82716148332
94460.79,87796.1684895634
97543.7,86903.94880210997
99176.14,85151.52682290332
99861.484,90864.6448697434
95634.08,84961.94265624668
101771.87,87539.03955075835
98060.266,86115.38458335999
96255.23,86331.88046872003
97467.836,86192.18833333335
97401.836,85872.03166668661
99609.21,81386.36286459665
97337.836,87294.99895834332
98918.78,82700.13213541
95431.55,82973.1962500233
99602.555,84565.26713541668
95974.82,84965.90526042666
97286.67,83836.24583329669
93595.27,83519.09768876669
97212.89,83443.40195310667
99801.484,82297.16942707667
96844.984,82979.74445310334
98509.67,85281.73463536671
97839.875,87392.01906248336
96838.99,82448.43736982998
98866.05,83175.6945051967
98108.23,82985.13018227334
93003.445,84487.87625000003
98141.29,83500.18625003666
97781.14,82717.3110677433
97078.695,82671.98125000829
97920.63,83983.76041666331
94458.68,82230.09661459335
96870.94,83881.90619792334
96233.23,83416.51732337123
97800.25,83218.83544270332
97351.91,84671.22880206336
97234.96,85311.97059895338
97167.55,78833.29466144997
98697.02,85469.42726562334
97175.08,85783.28630209668
101594.64,84969.71119793662
96489.83,83037.91669922911
96952.664,82127.84096357327
95980.42,90928.07473957002
96023.89,90003.44234376997
101386.32,84569.92088540332
96003.99,85688.51841149999
96361.766,83467.03588540998
94263.22,88116.33010416669
95877.26,86273.86161460332
93485.18,82942.5154427233
94899.9,83466.41802083666
96502.71,88604.28705727671
94478.11,82353.4614583458
97497.76,84851.4921614833
97104.125,82330.99057291665
98634.0,83308.17541669332
96317.45,83594.25062497008
96921.63,83413.02890624997
94487.164,84847.40291665668
98337.56,82136.66489584997
97131.05,77285.70867185999
99035.02,83903.01713536668
96608.73,81249.02653643336
96808.93,77625.98794271334
94993.47,80091.36041667082
95273.5,78673.72591143003
96316.7,82063.01239586664
96473.16,82190.5372396033
95519.57,78225.03218749662
97202.66,78028.14221354996
97817.164,83535.10414063999
94816.4,80335.66364580003
96795.14,81257.81934894997
95958.23,82583.19690106335
97739.18,78585.48070312668
94446.47,81421.77531253333
95496.836,81208.86337890419
97555.336,81024.21684897666
94817.11,81808.80187499333
93865.18,78592.87906250669
96373.42,78910.03455727668
101055.45,83861.5923697567
95991.0,81689.80106769335
98462.445,79237.87776041332
97222.49,78127.87611979665
97496.51,83210.89182289004
92992.805,79220.13325522332
96066.07,77830.25078124997
97299.19,80527.81708984579
94674.3,82737.92971357994
99287.305,78732.04596356332
100662.48,83354.35382811003
96386.49,80783.75492189
96213.375,79953.02791666331
94590.03,81121.83539061673
98287.984,79334.30356768338
96688.36,78758.72546877664
97291.29,79672.75981770332
99666.82,77761.8018229567
97165.805,77239.73304685332
97399.94,79808.69557290003
