Predictions,Actual_Values
104047.02,76953.04820315664
105067.89,74753.38997393336
106672.0,77515.50093752997
105145.02,80221.80640624995
103992.56,75625.36338538336
104307.98,76644.25729165999
105240.04,74230.64455730664
105009.19,76897.91252605332
105513.44,78447.57380207666
105343.516,73073.82609374664
103501.625,73644.3449739467
103670.945,77717.4300781292
104618.29,78776.43700521003
103932.64,74410.04148438
102851.984,75111.04908857
102721.66,72666.55140623669
100459.26,77858.91856768004
102533.78,72877.50880210334
106352.08,71077.03882814331
103386.87,72639.07835938665
100194.586,76548.00575519666
103892.66,69759.71981769669
105130.02,73473.27513025665
103312.94,70890.09270832497
104989.2,72824.00533855327
102556.75,75944.96604165668
103743.1,71103.13937500995
102332.97,72453.85289064664
103793.484,72653.72052082668
103409.82,74147.53041667667
103516.38,73922.68932290001
103645.414,74063.06119789665
104380.516,71690.20955728997
103910.63,74521.4720312633
102555.695,74571.96317708334
104721.35,70992.88994141665
104073.69,74964.96494794666
101903.05,74332.60440103
103618.164,74984.74158854996
100540.21,74696.50257812666
105672.57,75151.91679688332
101759.08,75364.46484369003
104899.07,76972.31588538334
102009.01,73956.87528639338
103637.78,77417.88002603668
102308.81,75929.94812499668
100643.21,77288.81088542331
105062.03,78753.40511072915
105165.99,78617.31901043664
103221.305,75336.40846351335
102736.445,80952.97846353668
104815.84,77957.37528648
102436.41,79825.91848957338
103574.45,81524.97992185662
103222.96,79959.03739583334
102240.305,77459.65023437001
102355.914,79693.69981769338
99925.81,83174.46213541333
104324.47,85161.67359376
104845.41,83133.5001627417
104296.15,79184.67536460995
101279.01,87648.48697915669
103028.63,85876.32645832332
102510.7,82574.04968753994
102108.234,86468.32830727332
103375.04,85651.28161461
103539.26,84074.51901042668
105044.45,83617.79882814665
104685.3,90340.07187500666
104083.38,86166.39786462329
105554.18,103698.1078905834
100739.06,112538.67333987496
102139.39,109064.92265629664
103610.84,99923.94463544663
103427.46,103001.59067708
105897.04,100871.37750000664
102286.07,100203.77585940332
106221.695,102526.26955727002
102896.664,98784.17898434668
104685.555,92949.0842448233
103001.81,94440.95473961665
103849.1,91622.71078124666
104731.53,95086.78721352668
103903.42,96384.30302733331
104355.625,88336.94580727669
99359.92,93885.32963542
102071.695,92904.18460932672
102028.6,91456.42768230666
100509.96,93027.93260415332
104861.08,88394.23427082002
104095.88,91479.27677083
102822.516,90622.89158853004
103782.164,89006.51265623666
104479.52,95088.43132812998
105396.18,97364.42924479
104533.445,93619.94580080832
104014.7,93640.00713541
103398.59,96691.93445309668
104369.32,97256.75624996668
101303.266,94939.33317707668
102212.24,90123.8208594033
104222.58,94213.50710936004
105206.0,97752.09447917998
104251.88,93734.41544270334
103027.375,98536.89221355662
107839.23,93196.77333334662
100660.78,94820.02731772998
104910.53,102473.65315754164
102383.33,98429.21218748334
103495.54,96631.41726563332
105307.086,93192.51197915668
106817.125,88453.20356769004
103326.96,88028.78515628332
101376.164,97020.67927080672
102125.58,95352.13169268335
103133.58,96420.32143227667
102538.234,96373.59601563662
103589.26,93340.13166667664
103663.25,93385.43419271662
104247.36,97161.75152992916
104301.664,89758.13872398666
104753.28,94493.54580729333
102666.36,92007.92377603668
105466.42,92132.07893229333
104344.26,90476.78171877662
102770.91,91731.86536459668
100022.31,98772.02591145667
102705.18,92750.70872396667
103711.31,92169.83786458
103689.73,89588.53294270334
102807.08,90523.45218749002
106990.38,92191.78388671669
105754.914,91695.5702082967
104054.586,91967.8566406
105620.06,92277.76005203671
105555.016,90064.60880209669
102554.84,92239.21656248336
103557.18,90689.66559890672
102001.82,93271.32419272
103391.66,93005.28861979333
102857.266,91771.7046614367
107105.92,86422.54455728004
102138.734,88757.28653646
104376.79,86577.73248698747
103094.2,87706.75364583332
104508.57,93129.05588539338
104004.484,88910.25041668997
104115.19,87268.7191145434
104793.3,91829.7527603867
104949.43,87078.9941146133
104590.664,84908.89192711329
107418.23,87277.6699739434
105150.12,86783.69333332
107177.86,83878.19864581001
107790.484,87852.47854169
104258.664,86546.36471352504
106862.664,90712.15567708334
104544.336,85336.24333335999
104843.15,86273.69432292665
105621.3,91343.62335938668
105631.664,83471.77260418331
107627.48,88896.10966146336
104943.164,84601.09986976668
106623.85,85185.44437499004
107054.92,93288.84096355663
104414.336,82712.45973958005
106063.16,88772.4273958067
103085.516,87949.55156251666
105709.91,89872.9765885067
106823.65,86491.05468749997
106387.02,89671.79705729333
105105.21,86998.17434891003
104423.31,90044.42304686994
105309.52,88397.60424479666
107001.73,86948.43486981666
108513.96,88058.00562498003
105048.08,88741.47466144669
103248.5,87286.17171875
109054.81,87065.86843749665
105590.06,91660.56025385004
108806.66,87242.69791666335
110485.195,86257.57380207338
106460.76,85991.13971355664
107018.35,87791.49710936335
102758.1,85015.64903645335
105935.305,88256.82716148332
103750.69,87796.1684895634
105676.055,86903.94880210997
104149.6,85151.52682290332
106129.27,90864.6448697434
104554.61,84961.94265624668
107492.26,87539.03955075835
105202.414,86115.38458335999
106231.195,86331.88046872003
106401.83,86192.18833333335
106114.84,85872.03166668661
107598.98,81386.36286459665
108958.336,87294.99895834332
105096.63,82700.13213541
107264.85,82973.1962500233
104154.484,84565.26713541668
101890.13,84965.90526042666
107348.32,83836.24583329669
105864.38,83519.09768876669
106336.82,83443.40195310667
108837.76,82297.16942707667
108625.375,82979.74445310334
106035.71,85281.73463536671
105093.7,87392.01906248336
105904.93,82448.43736982998
105728.65,83175.6945051967
106788.99,82985.13018227334
107268.375,84487.87625000003
106980.266,83500.18625003666
108904.31,82717.3110677433
108464.29,82671.98125000829
105798.78,83983.76041666331
106900.78,82230.09661459335
104794.66,83881.90619792334
102813.45,83416.51732337123
106066.94,83218.83544270332
107960.01,84671.22880206336
106736.1,85311.97059895338
106200.086,78833.29466144997
106645.21,85469.42726562334
107633.34,85783.28630209668
106845.1,84969.71119793662
105328.72,83037.91669922911
106929.586,82127.84096357327
107150.31,90928.07473957002
106330.04,90003.44234376997
