h,m_b,W
0,0,79852.23221354668
0,5,77831.54427082004
0,10,78482.25440105333
0,15,79706.18984375997
0,20,78548.49942710668
0,25,78099.80973958336
0,30,78296.55950519671
0,35,76095.96200523997
0,40,78859.08247397664
0,45,78887.40518230334
0,50,75234.32169271995
0,55,79853.47802734998
1,0,76318.57372395665
1,5,76525.44833333328
1,10,79163.98705730333
1,15,74393.32419269667
1,20,77949.97442709997
1,25,76515.22802082667
1,30,75228.09239584328
1,35,79146.72109371674
1,40,77858.93531251667
1,45,75158.43226564
1,50,77745.36083334664
1,55,74629.46064448757
2,0,79541.27736978668
2,5,80528.22398437331
2,10,79225.46903647002
2,15,79213.0670833533
2,20,78456.58611977003
2,25,79943.75692707002
2,30,80149.60820309003
2,35,80553.92916665
2,40,78340.67432288668
2,45,80127.2107031267
2,50,79046.87546873667
2,55,77289.07708337081
3,0,81676.34059899663
3,5,78300.26895833333
3,10,81422.22567710333
3,15,81379.07901042004
3,20,76388.47005209333
3,25,82400.65843748668
3,30,79235.12257810336
3,35,80233.51875003993
3,40,80746.74398435667
3,45,81806.87411458
3,50,77341.86591142342
3,55,95831.40022786251
4,0,95972.82703125667
4,5,100910.65671874002
4,10,96462.80703129328
4,15,94530.76320312
4,20,99244.31781250666
4,25,93475.01031247001
4,30,96444.22015623668
4,35,98434.37895832001
4,40,98509.51169270332
4,45,96167.30905849516
4,50,97349.89721428287
4,55,
5,0,
5,5,
5,10,
5,15,
5,20,95468.05840405829
5,25,114892.80174479668
5,30,116701.12760417332
5,35,112086.36783856663
5,40,113174.68630208333
5,45,105746.81015623338
5,50,105876.91260417
5,55,106946.19091799996
6,0,106645.46783852669
6,5,105311.16843748336
6,10,98041.65458334335
6,15,103575.65374998002
6,20,103321.68294275992
6,25,101013.76195314001
6,30,98202.77419267337
6,35,102752.44880208999
6,40,96257.61489585001
6,45,97524.0349999967
6,50,100162.00026042995
6,55,96215.6614583916
7,0,95776.26393229332
7,5,93164.39950517341
7,10,94882.65940101672
7,15,99056.75489583
7,20,95957.9479253846
7,25,95106.35440105335
7,30,99964.85252603333
7,35,91639.78541667003
7,40,91215.97981772666
7,45,90243.10101562666
7,50,91197.01567709666
7,55,89942.8398112
8,0,95132.31747397331
8,5,89998.33244794664
8,10,94175.23942706668
8,15,92540.27929689002
8,20,93054.2653645767
8,25,93720.06388018338
8,30,88933.31437498335
8,35,86185.06138024329
8,40,91593.30539062669
8,45,88880.75421874334
8,50,87922.13361978668
8,55,91065.04856770416
9,0,87077.95312500666
9,5,87943.78710939328
9,10,89364.04135417
9,15,85198.4844010533
9,20,89050.93196071571
9,25,91912.36622395334
9,30,92841.35236978334
9,35,87836.35679686334
9,40,87339.97070312999
9,45,92212.72179690328
9,50,88485.06028645333
9,55,86177.16748047915
10,0,91596.22765628331
10,5,85004.11526038671
10,10,90249.23893230665
10,15,88459.64257811
10,20,88223.07419267004
10,25,90912.28130207003
10,30,90192.96184894
10,35,87950.75614586663
10,40,90673.61364584336
10,45,87384.1033333167
10,50,88926.81828125333
10,55,89127.67428385414
11,0,88241.36367188668
11,5,88365.07549475005
11,10,89932.71583335995
11,15,90228.28895835001
11,20,94308.79466144666
11,25,90112.05802084667
11,30,90952.2951041467
11,35,89547.18937499667
11,40,86448.89765624667
11,45,85176.22309894669
11,50,86287.57921876329
11,55,84561.25543619998
12,0,84958.65088538667
12,5,84242.41348959332
12,10,86120.99890627331
12,15,86623.94184896666
12,20,84393.32000002995
12,25,81440.44695314
12,30,91630.82104163003
12,35,82112.28239582002
12,40,83680.28861980666
12,45,83684.91041665338
12,50,86128.86343748668
12,55,83053.22203778749
13,0,85763.28627604333
13,5,87303.35658855997
13,10,85297.13052081667
13,15,86221.26585940663
13,20,92215.31882811665
13,25,87134.18622395332
13,30,89510.09260415002
13,35,88200.00630206337
13,40,88398.05018228001
13,45,85850.52794271667
13,50,90074.00533854333
13,55,87175.13997394996
14,0,89776.32416668333
14,5,87086.37992187333
14,10,90087.32117188998
14,15,85766.7851301967
14,20,88310.50304686667
14,25,87629.80234377665
14,30,84636.29393227003
14,35,86038.73023435337
14,40,89039.17710936995
14,45,84536.96346352002
14,50,88436.99468748666
14,55,86732.67916665417
15,0,86361.35013023663
15,5,87958.32828124335
15,10,82047.81682292664
15,15,85796.32143230662
15,20,86539.25365803011
15,25,83773.85627604667
15,30,80277.63166665337
15,35,84309.87036457998
15,40,81126.61713543996
15,45,80759.19309892671
15,50,84918.16794272998
15,55,79101.98681640836
16,0,84276.87213543328
16,5,76220.02593751664
16,10,82757.12093750332
16,15,83342.29098959333
16,20,84943.10244789005
16,25,80243.05760415667
16,30,85544.4430208333
16,35,78391.52223958999
16,40,85357.67765623998
16,45,81537.98265624672
16,50,82006.97226564997
16,55,84470.92724605837
17,0,83049.04820315332
17,5,84418.44033852003
17,10,83239.71656245999
17,15,84100.71276043667
17,20,81375.96472617725
17,25,84788.15148436
17,30,80467.61927082669
17,35,83496.02192705004
17,40,82780.71192706334
17,45,80765.10158855
17,50,82929.84239584996
17,55,82332.9728840667
18,0,78738.87838544998
18,5,82814.06929686003
18,10,82050.75416665667
18,15,81357.34429686665
18,20,82173.94986979668
18,25,79693.31971915191
18,30,
18,35,
18,40,
18,45,
18,50,
18,55,
19,0,
19,5,
19,10,
19,15,
19,20,
19,25,
19,30,
19,35,
19,40,
19,45,
19,50,
19,55,
20,0,
20,5,
20,10,
20,15,
20,20,
20,25,
20,30,
20,35,
20,40,
20,45,
20,50,
20,55,
21,0,
21,5,
21,10,
21,15,
21,20,
21,25,
21,30,
21,35,
21,40,
21,45,
21,50,
21,55,
22,0,
22,5,
22,10,
22,15,
22,20,
22,25,
22,30,
22,35,
22,40,
22,45,
22,50,
22,55,
23,0,
23,5,
23,10,
23,15,
23,20,
23,25,
23,30,
23,35,
23,40,
23,45,
23,50,
23,55,
